model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
Gradient Boosting Regressor,384269.70888536924,14423.459447027211,629174.1793148394,68638.78049666395,0.7943859099402211,0.01932077813171613,462609.49387603,476306310131.85284,0.8201945822664145
Random Forest Regressor,428286.2636718997,18056.957239409392,692838.5455650277,90626.7500493496,0.7516385002719674,0.028890599795107125,498647.5946430743,617120518931.991,0.7670372818117466
Ridge Regression,471111.90808521176,26423.949334056375,672660.326141695,56268.290784783174,0.7640814375006802,0.021386147383814672,525458.8772394619,707869036271.4415,0.732779757353575
